,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,price,weekly_price,monthly_price,neighbourhood_cleansed_index,neighbourhood_group_cleansed_index,property_type_index
0,Embajadores,Centro,28012.0,40.413418179848634,-3.706838445919361,1,Apartment,64.0,448.0,750.0,12,1,0
1,Los Cármenes,Latina,28047.0,40.4034095295952,-3.740841968636018,0,Apartment,17.0,98.0,370.0,101,10,0
2,Universidad,Centro,28004.0,40.42202187481732,-3.703954103136428,1,Apartment,60.0,450.0,1200.0,15,1,0
3,Justicia,Centro,28004.0,40.419951134923735,-3.697637246840064,0,Apartment,115.0,600.0,3450.0,14,1,0
4,Legazpi,Arganzuela,28045.0,40.39116097569405,-3.6882338394434337,1,Hostel,45.0,315.0,1350.0,24,2,1
5,Legazpi,Arganzuela,28045.0,40.38985046311008,-3.6901077862406515,1,Hostel,25.0,175.0,750.0,24,2,1
6,Sol,Centro,28012.0,40.41552454813678,-3.7034586001718535,1,Apartment,65.0,400.0,1290.0,16,1,0
7,Embajadores,Centro,28005.0,40.409259468098114,-3.705049227898353,1,Apartment,19.0,120.0,365.0,12,1,0
8,Palos de Moguer,Arganzuela,28045.0,40.40298562021253,-3.691815647976894,1,Hostel,149.0,1043.0,4470.0,26,2,1
9,Rejas,San Blas - Canillejas,28022.0,40.445083781620696,-3.5915012405093893,0,Apartment,29.0,200.0,870.0,206,20,0
10,Embajadores,Centro,28012.0,40.41110750294009,-3.7026889396710567,1,Loft,54.0,400.0,1300.0,12,1,2
11,Justicia,Centro,28004.0,40.4197781770494,-3.697298893364473,1,Apartment,55.0,364.0,1350.0,14,1,0
12,Universidad,Centro,28004.0,40.42096089699925,-3.7042802791368885,1,Apartment,90.0,600.0,2700.0,15,1,0
13,Palacio,Centro,28013.0,40.41971090963544,-3.7125563304129483,1,Guest suite,40.0,245.0,1200.0,11,1,3
14,Justicia,Centro,28004.0,40.420800192145705,-3.698775326514681,1,Apartment,45.0,555.0,1712.0,14,1,0
15,Peñagrande,Fuencarral - El Pardo,28035.0,40.48409165427119,-3.7225686270241614,1,Apartment,20.0,140.0,600.0,83,8,0
16,Universidad,Centro,28015.0,40.42364536274782,-3.7088941459313065,1,Apartment,58.0,399.0,1100.0,15,1,0
17,Universidad,Centro,28004.0,40.42325006981242,-3.702107461167925,1,Apartment,82.0,490.0,1650.0,15,1,0
18,Universidad,Centro,28004.0,40.42321368028037,-3.7014281205116935,1,Apartment,66.0,399.0,1302.0,15,1,0
19,Palacio,Centro,28013.0,40.421377229862564,-3.7110061755580976,1,Apartment,82.0,553.0,1953.0,11,1,0
20,Palacio,Centro,28013.0,40.42110740453139,-3.7101041404191184,1,Apartment,113.0,420.0,1323.0,11,1,0
21,Arapiles,Chamberí,28015.0,40.43359206847489,-3.70687262726408,0,Apartment,145.0,930.0,3555.0,72,7,0
22,Embajadores,Centro,28012.0,40.411192242767775,-3.7046991340424102,1,Apartment,110.0,770.0,3300.0,12,1,0
23,Cortes,Centro,28014.0,40.41138724656468,-3.6940846654777095,1,Apartment,90.0,600.0,1600.0,13,1,0
24,Embajadores,Centro,28005.0,40.410751388305,-3.707585256582492,1,Apartment,60.0,390.0,950.0,12,1,0
25,Embajadores,Centro,28012.0,40.407433059883736,-3.6971941815968736,1,Apartment,60.0,335.0,1017.0,12,1,0
26,Universidad,Centro,28015.0,40.42791316481744,-3.7099928761218366,0,Apartment,102.0,642.0,2163.0,15,1,0
