,ACONDICIONAMIENTOVEHICULOS,ACONDICIONAMIENTOVIAJEROS,BARRIO,CALIFICADORPORTAL,CARRETERA,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,CODIGOENTIDAD,CODIGOESTACION,CODIGOINTERCAMBIADOR,CODIGOMUNICIPIO,CODIGONUCLEO,CODIGOPOSTAL,CODIGOPROVINCIA,CODIGOVIA,CORONA123,CORONATARIFARIA,CORREDOR,DENOMINACION,DENOMINACIONABREVIADA,DENOMINACION_SAE,DISTRITO,ENCUESTAAFOROS,ENCUESTADOMICILIARIA,FECHAACTUAL,FECHAALTA,FECHAFIN,FECHAINICIO,GRADOACCESIBILIDAD,HOJA25000,IDESTACION,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LATITUD,LINEAS,LONGITUD,MODO,MODOINTERCAMBIADOR,NOMBREVIA,NUMEROPORTAL,OBJECTID,OBSERVACIONES,PARTICULA,SECCIONCENSAL,SECTOR,SECTORURBANO,SITUACION,SITUACIONCALLE,TESELA,TIPO,TIPONUMERO,TIPOVIA,X,Y,ZONATRANSPORTE
0,3,2,4,,,,1677,07901,1514,,079,0790101,28039,28,04394,1,A,6,OFELIA NIETO-FRANCOS RODRIGUEZ,"Ofelia Nieto, 5",,09,,211,20170920,20010709,,19861001,T,,6_1514,,,40.45807097957266,"44, 128",-3.7112816728913667,6,,Ofelia Nieto,5,1,,de,69,1,,S,,,U,N,Calle,439802.0,4479051.0,079-09-211
1,3,2,,,,,2399,07901,1516,,079,,28040,28,01738,2,A,6,DR.FEDERICO RUBIO-FCO.DIEGO,Av Dr. Federico Rubio con Fco de Diego,,09,,217,20170920,20010709,,19861001,T,,6_1516,,,40.4557181854233,44,-3.714441187933288,6,,Doctor Federico Rubio y Galí,67,2,,del,,5,,S,,,U,N,Avda,439532.0,4478792.0,079-09-217
2,3,2,,,,,2397,07901,1517,,079,,28040,28,01738,2,A,6,DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,"Av. Dr. Federico Rubio y Galí, 57",,09,,217,20170920,20010709,,19861001,T,,6_1517,,,40.4533613938055,44,-3.7138619674661353,6,,Doctor Federico Rubio y Galí,82,3,,del,,5,,S,,,U,N,Avda,439579.0,4478530.0,079-09-217
3,3,2,,,,,1671,07901,1518,,079,,28039,28,01738,1,A,6,DR.FEDERICO RUBIO-JERONIMA LLORENTE,"Av. Doctor Federico Rubio y Galí, 45",,06,,117,20170920,20010709,,19861001,T,,6_1518,,,40.45218857154183,"44, 127, N21",-3.709733785303475,6,,Doctor Federico Rubio y Galí,45,4,,del,,1,,S,,,U,N,Avda,439928.0,4478397.0,079-06-117
4,3,2,,,,,1669,07901,1519,,079,,28039,28,01738,1,A,6,DR.FEDERICO RUBIO-ABEL,"Av. Doctor Federico Rubio y Galí, 27",,06,,117,20170920,20010709,,19861001,T,,6_1519,,,40.45055876407324,"44, 127",-3.709598728613433,6,,Doctor Federico Rubio y Galí,21,5,,del,,5,,S,,,U,N,Avda,439938.0,4478216.0,079-06-117
5,3,2,,,,,2393,07901,1522,,079,,28003,28,05449,1,A,6,SAN FCO.DE SALES-GUZMAN EL BUENO,"San Francisco de Sales, 33",,07,,126,20170920,20010709,,19861001,T,,6_1522,,,40.442356258108646,"44, N21",-3.7132268437255114,6,,San Francisco de Sales,33,6,,de,,1,,S,,,U,N,Paseo,439623.0,4477308.0,079-07-126
6,3,2,135,,,,2101,07901,1527,,079,0790101,28018,28,11626,2,A,3,LAGO CALAFATE,,,13,,364,20170920,20010709,,19861001,T,,6_1527,,,40.38396407415429,310,-3.6496290986584823,6,,Lago Calafate,18,7,,del,153,3,,S,,T07913152,U,N,Calle,444969.0,4470785.0,079-13-364
7,3,2,,,,,1413,07901,1528,,079,,28003,28,04926,1,A,6,GTA.PTE.GARCIA MORENO,"Gta. Presidente García Moreno, 2",,07,,121,20170920,20010709,,19861001,T,,6_1528,,,40.445687487894794,45,-3.7150308047857457,6,,Presidente García Moreno,2,8,,del,,1,,S,,,U,N,Gta,439473.0,4477679.0,079-07-121
8,3,2,071,,,,1415,07901,1530,225,079,,28003,28,05140,1,A,6,AV.REINA VICTORIA-GRAL.I.IBERO,"Reina Victoria, 41",,07,,121,20170920,20010709,,19861001,T,,6_1530,,,40.44659602055371,"45, C1, F",-3.710866019395034,6,93.0,Reina Victoria,39,9,,de la,001,,,S,,,U,N,Avda,439827.0,4477777.0,079-07-121
9,3,2,107,A,,,5215,07901,5430,,079,0790101,28044,28,04091,2,A,5,"CALLE DE MIRABEL, 3",,,10,,242,20170920,20060519,,20030603,T,,6_5430,,,40.37607876885794,N19,-3.78125166444499,6,,Mirabel,4,10,,de,180,3,0790101A01,S,,T07913903,U,N,Calle,433789.0,4470000.0,079-10-242
10,3,2,208,,,,3119,07901,3534,,079,,28027,28,11669,2,A,2,MARQUESADO STA.MARTA-FERNANDO MIJARES,Marquesado de Sta Marta con Fdo Mijares,,20,,545,20170920,20010709,,19861001,T,,6_3534,,,40.44768988675942,"114, N4",-3.622576585803487,6,,Marquesado de Santa Marta,12,11,,del,099,4,,S,,,U,N,Calle,447315.0,4477842.0,079-20-545
11,3,2,4,,,,4675,07901,3539,,079,0790101,28010,28,03075,1,A,6,STA.ENGRACIA-CARACAS,"Santa Engracia, 20 esquina a C/ Caracas",,07,,140,20170920,20010709,,19861001,T,,6_3539,,,40.430537736549496,3,-3.6967267980035134,6,,Santa Engracia,20,12,,de,79,1,,S,,,U,N,Calle,441012.0,4475985.0,079-07-140
12,3,2,205,,,,3409,07901,3543,255,079,0790101,28022,28,45474,2,A,2,AV.NIZA-LAS MUSAS,Av. de Niza con C/ María Sevilla Diago,,20,,566,20170920,20010709,,19861001,T,,6_3543,,,40.43255234729766,"38, E2",-3.607735326210489,6,93.0,Niza,59,13,,de,066,,0790101A01,S,,T0797274,U,N,Avda,448562.0,4476153.0,079-20-566
13,3,2,143,,,,1327,07901,3545,,079,,28030,28,10651,2,A,3,DR.GARCIA TAPIA-FTE.CARRANTONA,Dr. García Tapia con  Fuente Carrantona,,14,,387,20170920,20010709,,19861001,T,,6_3545,,,40.40792682779627,30,-3.6319924514414335,6,,Doctor García Tapia,155,14,,del,081,4,,S,,,U,N,Avda,446485.0,4473434.0,079-14-387
14,3,2,,,,,1501,07901,3558,,079,,28029,28,08173,2,A,7,AV.BETANZOS-CHANTADA,"Av. de Betanzos, 18",,08,,180,20170920,20010709,,19861001,T,,6_3558,,,40.47347394493961,42,-3.711679938998065,6,,Betanzos,18,15,,de,,1,,S,,,U,N,Avda,439782.0,4480761.0,079-08-180
15,3,2,191,,,,1826,07901,3560,361,079,0790101,28032,28,45424,2,A,3,INDALECIO PRIETO-LOS PINILLAS,Indalecio Prieto con Pza Juán Rof,,19,,522,20170920,20010709,,19861001,T,,6_3560,,,40.39983101015987,"8, 71, 130",-3.621370145366631,6,93.0,Indalecio Prieto,27,16,,de,035,,0790101A01,S,,T07910915,U,N,Bulv,447380.0,4472529.0,079-19-522
16,3,2,191,B,,,1828,07901,3561,361,079,,28032,28,45424,2,A,3,INDALECIO PRIETO-JUGLARES,Indalecio Prieto-Pza Juan Carlos Onetti,,19,,522,20170920,20010709,,19861001,T,,6_3561,,,40.401817216813264,"8, 71, 130",-3.6205870438061676,6,93.0,Indalecio Prieto,13,17,,de,038,,,S,,T07910893,U,N,Bulv,447448.0,4472749.0,079-19-522
17,3,2,145,,,,832,07901,3565,,079,,28030,28,04198,2,A,3,PZA.CORR.ALONSO AGUILAR,"Av de Moratalaz, 40",,14,,386,20170920,20010709,,19861001,T,,6_3565,,,40.40717154065058,20,-3.659209370815738,6,,Moratalaz,40,18,,de,043,3,,S,,,U,N,Avda,444175.0,4473367.0,079-14-386
