Barrio;Anyo;Trimestre;Precio
Ciudad de Madrid;2010;T1;12.01
Ciudad de Madrid;2010;T2;12.01
Ciudad de Madrid;2010;T3;11.86
Ciudad de Madrid;2010;T4;11.95
Ciudad de Madrid;2011;T1;11.97
Ciudad de Madrid;2011;T2;12.03
Ciudad de Madrid;2011;T3;11.94
Ciudad de Madrid;2011;T4;11.8
Ciudad de Madrid;2012;T1;11.56
Ciudad de Madrid;2012;T2;11.52
Ciudad de Madrid;2012;T3;11.37
Ciudad de Madrid;2012;T4;11.1
Ciudad de Madrid;2013;T1;10.9
Ciudad de Madrid;2013;T2;10.8
Ciudad de Madrid;2013;T3;10.8
Ciudad de Madrid;2013;T4;10.8
Ciudad de Madrid;2014;T1;11.5
Ciudad de Madrid;2014;T2;11.3
Ciudad de Madrid;2014;T3;11.3
Ciudad de Madrid;2014;T4;11.4
Ciudad de Madrid;2015;T1;11.6
Ciudad de Madrid;2015;T2;11.7
Ciudad de Madrid;2015;T3;12.1
Ciudad de Madrid;2015;T4;12.4
Ciudad de Madrid;2016;T1;12.9
Ciudad de Madrid;2016;T2;13.1
Ciudad de Madrid;2016;T3;13.8
Ciudad de Madrid;2016;T4;14.4
Ciudad de Madrid;2017;T1;14.8
Ciudad de Madrid;2017;T2;14.6
Ciudad de Madrid;2017;T3;15.3
Ciudad de Madrid;2017;T4;15.5
Ciudad de Madrid;2018;T1;15.9
Ciudad de Madrid;2018;T2;-
Ciudad de Madrid;2018;T3;-
Ciudad de Madrid;2018;T4;-
Centro;2010;T1;14.26
Centro;2010;T2;14.2
Centro;2010;T3;14.58
Centro;2010;T4;14.12
Centro;2011;T1;13.98
Centro;2011;T2;14.07
Centro;2011;T3;14.06
Centro;2011;T4;13.88
Centro;2012;T1;13.56
Centro;2012;T2;13.2
Centro;2012;T3;13.07
Centro;2012;T4;12.65
Centro;2013;T1;12.8
Centro;2013;T2;12.6
Centro;2013;T3;12.4
Centro;2013;T4;12.4
Centro;2014;T1;13.6
Centro;2014;T2;13.4
Centro;2014;T3;13.5
Centro;2014;T4;13.7
Centro;2015;T1;13.8
Centro;2015;T2;13.7
Centro;2015;T3;14.5
Centro;2015;T4;15.3
Centro;2016;T1;15.9
Centro;2016;T2;16
Centro;2016;T3;16.9
Centro;2016;T4;17.7
