,Distrito_Nombre,neighbourhood_group_cleansed_index,Barrio_Nombre,Barrio,Precio_noche,Precio_semana,Precio_mes,Cuenta
0,Arganzuela,2,Acacias,22,52.431693989071036,357.7978142076503,1493.9234972677596,183
1,Arganzuela,2,Atocha,27,65.3125,466.125,1896.25,16
2,Arganzuela,2,Chopera,23,43.4468085106383,299.7588652482269,1257.950354609929,141
3,Arganzuela,2,Delicias,25,54.71748571428591,378.59382857143,1575.7988571428627,175
4,Arganzuela,2,Imperial,21,58.981818181818184,407.40909090909093,1729.7727272727273,110
5,Arganzuela,2,Legazpi,24,56.022222222222226,388.84444444444443,1629.2,45
6,Arganzuela,2,Palos de Moguer,26,60.90329268292688,419.32304878048814,1756.043902439026,328
7,Barajas,21,Aeropuerto,212,54.0,378.0,1620.0,10
8,Barajas,21,Alameda de Osuna,211,47.206896551724135,311.62068965517244,1276.551724137931,29
9,Barajas,21,Casco Histórico de Barajas,213,35.81818181818182,244.13636363636363,1010.4545454545455,22
10,Barajas,21,Corralejos,215,62.416666666666664,413.6666666666667,1755.0,12
11,Barajas,21,Timón,214,37.25581395348837,257.30232558139534,1083.0232558139535,43
12,Carabanchel,11,Abrantes,117,37.3,256.0,1096.2,20
13,Carabanchel,11,Buenavista,116,34.303030303030305,237.3939393939394,1009.3939393939394,33
14,Carabanchel,11,Comillas,111,44.149532710280376,304.23364485981307,1277.5794392523364,107
15,Carabanchel,11,Opañel,112,47.80952380952381,333.4404761904762,1413.5,84
16,Carabanchel,11,Puerta Bonita,115,45.743589743589745,308.6923076923077,1173.5897435897436,39
17,Carabanchel,11,San Isidro,113,40.4697435897437,280.8587179487187,1192.8551282051315,156
18,Carabanchel,11,Vista Alegre,114,37.30487804878049,256.5365853658537,1044.8292682926829,82
19,Centro,1,Cortes,13,91.56836083608381,635.1790979097924,2640.9282728272888,909
20,Centro,1,Embajadores,12,74.09960486322234,511.04080547112767,2132.602127659581,2632
