Barrio_Nombre;Superficie (Ha.) ;Densidad (hab./Ha.) ;Sexo de la población;Hombres;Mujeres;Edad media de la población;De 0 a 14 años;De 15 a 29;De 30 a 44;De 45 a 64;De 65 a 79;De 80 y + ;De 65 y +;Población en etapa educativa (De 3 a 16 años -16 no incluidos-);Personas con nacionalidad española;Personas con nacionalidad española HOMBRES;Personas con nacionalidad española MUJERES;Personas con nacionalidad extranjera;Personas con nacionalidad extranjera HOMBRES;Personas con nacionalidad extranjera MUJERES;Nº total de hogares;Tamaño medio del hogar;Hogares con una mujer sola >65 años;Hogares con un hombre solo >65 años;Hogares monoparentales: una mujer adulta con uno o más menores;Hogares monoparentales: un hombre adulto con uno o más menores;Tasa bruta de natalidad 2016 (‰);Tasa de crecimiento demográfico 2016 (‰);Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);Esperanza de vida al nacer MUJERES;Esperanza de vida al nacer HOMBRES;Esperanza de vida > 65 años MUJERES;Esperanza de vida > 65 años HOMBRES;Renta neta media anual de los hogares (Urban Audit). 2014;Renta disponible Bruta Per Cápita 2014(a);Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;Pensión media mensual del Distrito HOMBRES (2015);Pensión media mensual del Distrito MUJERES (2015);Número de parados ciudad de Madrid (EPA. 3º trimestre 2017);Hombres ;Mujeres;Paro registrado (nº de personas registradas en SEPE en agosto 2017);Parados de larga duración (agosto 2017);Hombres;Mujeres ;Parados que SÍ perciben prestaciones (agosto 2017);Hombres;Mujeres ;Parados que NO perciben prestaciones (agosto 2017);Hombres;Mujeres ;1.5.1. Población en etapas educativas (01/01/2017);0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);Etapas educativas. Total niños;0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);Etapas educativas. Total niñas;0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2015/16);En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;Total alumnos extranjeros;En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;Total alumnos con necesidades de apoyo educativo;En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;No sabe leer ni escribir o sin estudios;Primaria incompleta;Bachiller Elemental, Graduado Escolar, ESO,Formación profesional 1º grado;Formación profesional 2º grado, Bachiller Superior o BUP;Titulados medios, diplomados, arquitecto o ingeniero técnico;Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;Nivel de estudios desconocido y no consta;Casos trabajados por el programa de absentismo municipal (curso escolar 2015-2016);Casos trabajados HOMBRES;Casos trabajados MUJERES;Calidad de vida relacionada con la salud (CVRS) ;Calidad de vida relacionada con la salud (CVRS) HOMBRES;Calidad de vida relacionada con la salud (CVRS) MUJERES;Nº de personas con grado de discapacidad reconocido;Hombres;Mujeres;Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);Satisfacción de vivir en su barrio ;Calidad de vida actual en su barrio ;Convivencia vecinal;Espacios verdes;Parques infantiles ;Centros culturales;Organización de fiestas y eventos populares;Instalaciones deportivas;Servicios sociales municipales;Percepción de seguridad en Madrid;Percepción de seguridad en el barrio por el día;Percepción de seguridad en el barrio por la noche;1º. Personas orinando en la calle;2º. Residuos por excremento de animales domésticos;3º. Molestias por ruido;Pareja o matrimonio con hijos;Hogar formado por madre con hijos a cargo;Nacido en España;Nacido en un país fuera de la Unión Europea;Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);Imposibilidad de hacer frente a un gasto imprevisto de 650€;Dificultad para hacer frente a los gastos derivados del suministro energético;Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;Solicitudes tramitadas de Renta Mínima de Inserción;Perceptores de prestación de la Renta Mínima de Inserción;Beneficiarios de prestaciones sociales de carácter económico;Total prestaciones sociales de carácter económico (€);Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);Hombres;Mujeres;Personas socias de los Centros Municipales de Mayores;Hombres;Mujeres ;Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);Demandas de intervención en los Centros de Atención a la Infancia (CAI);Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;Nº de edificios;Nº de viviendas;Nº Total de viviendas (Censo Edificios y Viviendas 2011);Viviendas anteriores a 1980;Estado ruinoso;Estado malo;Estado deficiente;Estado bueno;No consta;Valor catastral medio de los bienes inmuebles: personas físicas (2016);Valor catastral medio de los bienes inmuebles: personas jurídicas (2016);Superficie media de la vivienda (m2) en transacción (2016);Duración media del crédito (meses) en transacción de vivienda (2016);Nº Total de viviendas familiares (Censo Edificios y Viviendas 2011);Principal;Secundaria;Desocupada;Otro tipo;Lanzamientos judiciales practicados (2013);Como consecuencia de ejecuciones hipotecarias;Como consecuencia de la Ley de Arrendamientos Urbanos;Lanzamientos judiciales practicados (2016);Como consecuencia de ejecuciones hipotecarias;Como consecuencia de la Ley de Arrendamientos Urbanos;Partículas suspensión PM2.5 (µgr/m3) -Valor límite: 25 µgr/m3-;Partículas suspensión PM10 (µgr/m3) -Valor límite: 20 µgr/m3-;Dióxido de azufre - SO2 (µgr/m3) -Valor límite: 125 µgr/m3-;Monóxido de carbono - CO2 (mg/m3) -Valor límite: 10 µgr/m3-;Ozono - O3 (µgr/m3) -Valor límite: 120 µgr/m3-;Dióxido de nitrógeno - NO2 (µgr/m3) -Valor límite: 40 µgr/m3-;Temperatura media anual (ºC);kg/habitante/año;kg/habitante/día;Relacionadas con las personas;Relacionadas con la tenencia de armas;Relacionadas con el patrimonio;Relacionadas con la tenencia y consumo de drogas;Expedientes instruidos por Agentes Tutores;Atestados/partes de accidentes de tráfico confeccionados;Total detenidos e investigados;Lesiones;Violencia doméstica;Malos tratos a menores;Abusos y agresiones sexuales;Hurtos;Robo con fuerza o violencia e intimidación;Contra la salud pública;Contra la seguridad vial;Censo electoral;Abstención;Votos blancos;Votos a candidaturas;PP;PSOE;Ahora Madrid;Ciudadanos;Centros de Servicios Sociales;Centros Municipales de Mayores ;Centros de Día de Alzheimer y Físicos;Apartamentos Municipales para Mayores;Residencias de mayores ;Centros de Atención a la Infancia (CAI);Nº de Bibliotecas Municipales;Nº de Bibliotecas Comunidad Madrid;Nº de Centros Culturales;Centros deportivos Municipales;Gestión directa;Gestión indirecta;Superficie deportiva m2 ;Superficie deportiva m2 en cdm gestión directa;Superficie deportiva m2 en cdm gestión indirecta;Instalaciones deportivas básicas (2016);Acceso controlado;m2 de superficie en idb acceso controlado;Acceso libre ;m2 de superficie en idb acceso libre;Campos de fútbol ;Pista de atletismo ;Piscinas cubiertas;Piscinas de verano;Zonas verdes (Ha);"Relación de zona verde (m2)/habitante (deseables 15m2/hab; mínimo 10m2/hab)";Escuelas Infantiles Municipales;Escuelas Infantiles Públicas CAM;Escuelas Infantiles Privadas;Colegios Públicos Infantil y Primaria (+ 3 centros con Secundaria);Institutos Públicos de Educación Secundaria;Colegios Privados Inf. o Pri. o Inf. y Pri.;Colegios Privados Inf., Pri. y Sec. o Pri. y Sec. ;Mercados Municipales;Nº total de asociaciones (2016);Nº de asociaciones de carácter social;Nº de asociaciones de vecinos
Ciudad;60445,51;52,65;3.182.175;1.481.179;1.700.996;44,07;433.907;476.790;748.767;871.713;415.991;235.007;650.998;373.108;2.787.197;1.297.494;1.489.703;394.952;183.676;211.276;1.266.198;2,51;124.137;35.155;27.419;5598;9,31;0,51;85,9;79,9;87,3;82,0;24,4;20,3;40.440,1 €;21.145,9 €;-40,4 €;1.376,2 €;858,8 €;179.769,50 €;94.748,85 €;85.020,65 €;182.379;75.484;31.389;44.095;70.962;33.831;37.131;111.417;46.275;65.142;461.025;87.917;87.115;175.234;110.759;235.848;44.985;44.601;89.826;56.436;225.177;42.932;42.514;85.408;54.323;502.771;218.985;84.532;199.254;52.172;18.077;4.220;29.875;18.804;9.209;566;9.029;136.377;310.755;651.137;469.961;241.826;647.129;3.742;3.965;1.972;1.993;20,6;19,47;21,54;179.013;86.580;92.433;106,8;70,8;69,5;69,0;6,3;5,8;6,5;6,1;6,4;6,3;63,6;74,0;58,7;4,5;6,8;3,7;0,357;0,411;0,264;0,392;0,2;0,387;0,095;0,1;128.050;7.422;16.429;13.639;7.089.300 €;63.854;13.802;50.052;314.019;119.958;194.061;8.895;1.843;1.163;62.092;560.346;1.530.955;1.061.825;3.445;12.705;66.775;1.420.265;27.770;93.914,1 €;369.307,9 €;83;295;1.378.931;1.080.306;106.192;178.377;13.998;5020;1501;3137;3496;718;2624;10,3;19,3;7,8;0,3;48,9;38,6;16,4º;326;0,893;6796;1806;10226;8460;804;12.286;12286;1186;1188;77;587;1864;344;199;3963;2.388.047;743.954;15.825;1.616.217;564.154;249.286;519.721;186.487;39;89;100;2;3;12;32;16;113;72;56;16;1.989.457;1.864.487;124.970;472;97;812.492;375;784.620;22;7;49;22;6.219,15;19,54;56;138;417;247;110;85;274;46;1.948;269;186
Centro;522,82;252,34;131.928;65.722;66.206;44,08;10.888;20.320;42.524;36.648;13.669;7.879;21.548;8.861;103.834;50.520;53.314;28.091;15.200;12.891;66.199;1,99;5.194;2.134;1.010;212;7,34;-0,54;84,6;77,7;85,5;81,5;23,3;20,1;30.197,4 €;23.767,5 €;1.276,9 €;1.230,2 €;835,3 €;;;;8.457;3.073;1.603;1.470;3.420;1.726;1.694;5.037;2.607;2.430;11.476;2.615;2.217;4.139;2.505;5.856;1.330;1.127;2.109;1.290;5.620;1.285;1.090;2.030;1.215;15.632;5.572;1.681;8.379;2.633;1.248;114;1.271;682;491;13;178;3.949;10.090;22.118;20.908;11.585;43.359;113;119;60;59;20,9;;;11.546;5.817;5.729;98,5;70,4;68,9;69,2;5,6;5,1;6,4;6,5;5,4;6,2;74,3;83,7;73,1;7,1;6,3;6,1;;;;;;;;;5.050;408;928;773;427.632 €;2.247;496;1.751;7.344;2.516;4.828;308;71;30;1.579;20.364;86.795;74.370;330;1.725;7.895;74.970;1.875;119.271,2 €;603.511,5 €;71;242;91.186;56.424;11.144;21.747;1.871;;;;;;;;;;;;;;558;1,529;714;931;1497;2975;404;926;2381;;;;;;;;;99.235;33.986;433;64.482;17.208;6.906;31.900;5.275;2;4;6;1;0;1;3;1;7;2;0;2;6.239;0;6.239;4;1;1.862;3;4.107;0;0;1;0;44,87;3,40;5;6;3;9;6;5;7;6;209;40;11
Palacio;146,99;152,07;22.353;10.818;11.535;45,58;1.873;3.161;6.498;6.622;2.715;1.484;4.199;1.563;18.657;8.944;9.713;3.694;1.872;1.822;11.178;2,00;1.024;424;189;33;6,93;-0,17;82,5;76,0;;;;;32.445,5 €;;;;;;;;1.329;;;;;;;;;;1.976;413;377;709;477;964;220;183;343;218;1.012;193;194;366;259;;;;;;;;;;;;;607;1.576;3.542;3.621;2.061;7.584;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126.287 €;446.649 €;78;254;14.983;9.881;1.743;3.014;345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.550;5.450;89;11.941;3.432;1.232;5.651;1.042;1;1;1;1;0;1;1;1;3;0;0;0;0;0;0;;;;;;0;0;0;0;;;1;;;;;;;1;;;
Embajadores;103,37;431,74;44.630;22.947;21.683;42,92;3.939;6.932;15.430;11.842;4.016;2.471;6.487;3.150;33.662;16.376;17.286;10.967;6.571;4.396;21.803;2,05;1.636;647;341;63;7,81;-0,70;85,2;78,3;;;;;23.833,4 €;;;;;;;;3.123;;;;;;;;;;4.120;970;837;1.481;832;2.153;495;431;778;449;1.967;475;406;703;383;;;;;;;;;;;;;1.967;4.330;8.562;6.859;3.547;12.395;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.972 €;236.573 €;58;266;28.818;18.991;2.858;6.527;442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.942;11.454;120;20.259;4.225;2.367;11.385;1.255;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;0;0;0;0;;;1;;;;;;;2;;;
Cortes;59,19;177,76;10521;5.240;5.281;45,03;748;1.563;3.286;3.151;1.144;629;1.773;602;8323;4.164;4.159;2198;1.076;1.122;5406;1,95;385;192;75;21;7,00;-0,96;83,6;77,9;;;;;32.402,8 €;;;;;;;;634;;;;;;;;;;795;193;148;276;178;423;101;75;146;101;372;92;73;130;77;;;;;;;;;;;;;233;691;1.524;1.739;909;3.979;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153.155 €;944.129 €;87;231;7.802;4.468;896;2.311;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.203;2.809;48;5.323;1.600;530;2.450;496;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;0;0;0;0;;;0;;;;;;;0;;;
Justicia;73,94;221,45;16374;8.150;8.224;44,16;1.393;2.491;5.144;4.634;1.731;981;2.712;1131;13202;6.508;6.694;3172;1.642;1.530;8335;1,96;633;247;131;34;7,50;-0,28;84,9;77,2;;;;;35.913,3 €;;;;;;;;849;;;;;;;;;;1.480;349;278;510;343;732;170;147;248;167;748;179;131;262;176;;;;;;;;;;;;;269;879;2.207;2.549;1.463;6.466;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162.665 €;583.888 €;95;237;11.687;6.707;2.173;2.592;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.523;4.237;65;8.181;2.700;784;3.462;831;1;1;1;0;0;0;1;0;0;2;0;2;6.239;0;6.239;;;;;;0;0;1;0;;;2;;;;;;;2;;;
Universidad;94,8;323,93;30.709;14.854;15.855;44,18;2.437;4.931;9.892;8.308;3.229;1.912;5.141;2.025;24.486;11.756;12.730;6.223;3.098;3.125;15.707;1,96;1.259;493;232;51;7,21;-0,45;86,3;78,5;;;;;28.883,0 €;;;;;;;;1.687;;;;;;;;;;2.587;562;483;964;578;1.326;286;244;490;306;1.261;276;239;474;272;;;;;;;;;;;;;721;2.133;5.025;4.892;2.910;10.467;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107.243 €;451.026 €;66;228;22.321;13.312;2.642;5.802;565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.579;7.932;95;15.478;4.190;1.669;7.505;1.356;0;1;1;0;0;0;1;0;2;0;0;0;0;0;0;;;;;;0;0;0;0;;;1;;;;;;;1;;;
Sol;44,53;164,85;7341;3.713;3.628;44,58;498;1.242;2.274;2.091;834;402;1.236;390;5504;2.772;2.732;1837;941;896;3770;1,95;257;131;42;10;6,37;-1,10;81,2;76,5;;;;;27.706,5 €;;;;;;;;409;;;;;;;;;;518;128;94;199;97;258;58;47;104;49;260;70;47;95;48;;;;;;;;;;;;;152;481;1.258;1.248;695;2.468;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.346 €;1.019.004 €;77;269;5.575;3.065;832;1.501;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.438;2.104;16;3.300;1.061;324;1.447;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;;;0;;;;;;;0;;;
Arganzuela;646,22;235,16;151.965;70.551;81.414;44,25;18.785;21.273;38.693;44.761;18.330;10.123;28.453;15.677;137.732;63.810;73.922;14.232;6.740;7.492;64.160;2,37;5.900;1.618;1.152;223;9,49;0,29;86,4;80,4;87,9;82,6;24,9;20,5;38.308,5 €;22.878,0 €;797,1 €;1.442,2 €;978,2 €;;;;7.693;2.941;1.196;1.745;3.157;1.463;1.694;4.536;1.864;2.672;19.930;4.253;3.759;7.190;4.728;10.106;2.204;1.964;3.522;2.416;9.824;2.049;1.795;3.668;2.312;17.275;5.514;2.627;9.134;1.283;417;34;832;499;252;4;243;3.547;11.134;25.170;23.939;15.316;41.609;184;60;33;27;19,7;;;8.820;3.975;4.845;121,9;73,7;75,1;71,1;6,9;6,4;7,3;6,1;6,7;5,8;68,0;75,5;61,8;5,1;4,6;4,4;;;;;;;;;5.451;194;261;234;127.399;1.862;359;1.503;14.077;5.259;8.818;160;65;19;0;0;76.260;45.920;540;1.885;7.200;65.310;1.320;85.687,5 €;301.084,1 €;75;310;66.554;51.954;5.905;7.998;697;;;;;;;;;;;;;;257;0,704;539;23;1.805;286;13;608;672;;;;;;;;;119.304;32.332;763;85.634;27.092;10.343;33.464;10.142;1;2;4;0;0;0;1;0;4;5;5;0;68.370;68.370;0;18;3;1.500;15;17.881;1;0;2;1;129,71;8,54;3;4;32;9;2;2;7;2;84;13;7
Imperial;96,77;234,02;22.646;10.472;12.174;45,64;2.657;3.047;5.242;7.031;2.970;1.699;4.669;2.304;21.149;9.797;11.352;1.497;675;822;9.563;2,37;888;248;169;29;8,43;-0,15;86,0;80,8;;;;;41.022,2 €;;;;;;;;1.067;;;;;;;;;;2.846;542;502;1.057;745;1.424;280;253;500;391;1.422;262;249;557;354;;;;;;;;;;;;;477;1.675;3.430;3.821;2.297;6.382;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88.144 €;414.954 €;79;298;10.363;8.348;938;996;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.563;4.684;136;13.652;4.647;1.449;5.185;1.661;0;0;0;0;0;0;0;0;0;1;1;0;37.420;37.420;0;;;;;;1;0;1;0;;;0;;;;;;;0;;;
