,BARRIO,CODIGOPOSTAL,DENOMINACION,DISTRITO,LATITUD,LONGITUD,TIPOTRANSPORTE,BARRIO_NOMBRE,DISTRITO_NOMBRE
0,15.0,28015.0,NOVICIADO,1.0,40.42484223357842,-3.707419042613631,Metro,Universidad,Centro
1,144.0,28030.0,ESTRELLA,14.0,40.41147221920649,-3.6617852707606366,Metro,Media Legua,Moratalaz
2,75.0,28003.0,RIOS ROSAS,7.0,40.44197535635587,-3.7013284811772937,Metro,Rios Rosas,Chamberí
3,104.0,28024.0,CAMPAMENTO,10.0,40.3948077574021,-3.7681281367874084,Metro,Aluche,Latina
4,125.0,28026.0,USERA,12.0,40.38709669326968,-3.706895642789324,Metro,Moscardó,Usera
5,43.0,28028.0,ODONNELL,4.0,40.42288842464461,-3.6685951462919535,Metro,Fuente del Berro,Salamanca
6,102.0,28011.0,PUERTA DEL ANGEL,10.0,40.41389889439627,-3.7272404518154256,Metro,Puerta del Angel,Latina
8,122.0,28041.0,HOSPITAL 12 DE OCTUBRE,12.0,40.375031361291015,-3.695854692444559,Metro,Orcasur,Usera
9,124.0,28026.0,ALMENDRALES,12.0,40.38409352717396,-3.697881397655217,Metro,Almendrales,Usera
10,12.0,28012.0,LAVAPIES,1.0,40.40851094285593,-3.700904123200477,Metro,Embajadores,Centro
11,86.0,28034.0,TRES OLIVOS,8.0,40.50120462748204,-3.6952024504667382,Metro,Valverde,Fuencarral - El Pardo
12,123.0,28041.0,SAN FERMIN-ORCASUR,12.0,40.369990930550905,-3.694176414503696,Metro,San Fermín,Usera
13,152.0,28017.0,GARCIA NOBLEJAS,15.0,40.428423190545146,-3.6332994657273185,Metro,Pueblo Nuevo,Ciudad Lineal
14,75.0,28003.0,GREGORIO MARAÑON,7.0,40.43825099442897,-3.691482862119011,Metro,Rios Rosas,Chamberí
15,84.0,28035.0,PEÑAGRANDE,8.0,40.47592352024965,-3.7158241579124778,Metro,Pilar,Fuencarral - El Pardo
16,85.0,28034.0,HERRERA ORIA,8.0,40.48466278015302,-3.70751021303079,Metro,La Paz,Fuencarral - El Pardo
17,55.0,28016.0,PIO XII,5.0,40.463002760511316,-3.6757901500189503,Metro,Nueva España,Chamartín
18,71.0,28008.0,ARGÜELLES,7.0,40.43066093022461,-3.7159626510948343,Metro,Gaztambide,Chamberí
19,16.0,28013.0,CALLAO,1.0,40.42008325439652,-3.7056647767005217,Metro,Sol,Centro
20,164.0,28033.0,HORTALEZA,16.0,40.47537171795902,-3.6525726113410113,Metro,Pinar del Rey,Hortaleza
21,212.0,28042.0,AEROPUERTO T4,21.0,40.491766772326,-3.5932455972134267,Metro,Aeropuerto,Barajas
22,87.0,28049.0,PITIS,8.0,40.49510584237574,-3.72589123290808,Metro,Mirasierra,Fuencarral - El Pardo
24,12.0,28005.0,PUERTA DE TOLEDO,1.0,40.407035754461866,-3.711046450767629,Metro,Embajadores,Centro
27,52.0,28002.0,CARTAGENA,5.0,40.439337495245134,-3.672151601329782,Metro,Prosperidad,Chamartín
28,15.0,28015.0,PLAZA DE ESPAÑA,1.0,40.42408688460979,-3.7096987115977367,Metro,Universidad,Centro
29,76.0,28003.0,ISLAS FILIPINAS,7.0,40.439068206632655,-3.7137286447993536,Metro,Vallehermoso,Chamberí
30,34.0,28009.0,IBIZA,3.0,40.41839121058978,-3.6785751055264586,Metro,Ibiza,Retiro
31,62.0,28020.0,ALVARADO,6.0,40.45033197599432,-3.703314209275785,Metro,Cuatro Caminos,Tetuán
32,74.0,28046.0,COLON,7.0,40.42541918213737,-3.6910073925714295,Metro,Almagro,Chamberí
33,13.0,28014.0,SEVILLA,1.0,40.41805074812411,-3.699251138040337,Metro,Cortes,Centro
34,14.0,28014.0,BANCO DE ESPAÑA,1.0,40.419219786114795,-3.694965105581384,Metro,Justicia,Centro
35,66.0,28020.0,ESTRECHO,6.0,40.45428802582823,-3.7030229599498505,Metro,Berruguete,Tetuán
37,117.0,28025.0,PLAZA ELIPTICA,11.0,40.38460005540756,-3.7183705578119546,Metro,Abrantes,Carabanchel
38,212.0,28042.0,AEROPUERTO T1 T2 T3,21.0,40.4686442368363,-3.5695382559432054,Metro,Aeropuerto,Barajas
39,52.0,28002.0,AVENIDA DE AMERICA,5.0,40.43803257738159,-3.676639555326264,Metro,Prosperidad,Chamartín
40,62.0,28003.0,CUATRO CAMINOS,6.0,40.44697459690457,-3.7038686992860153,Metro,Cuatro Caminos,Tetuán
41,42.0,28028.0,MANUEL BECERRA,4.0,40.42790447983754,-3.6692051807116384,Metro,Goya,Salamanca
42,132.0,28038.0,PUENTE DE VALLECAS,13.0,40.39819215100294,-3.6690589994785863,Metro,San Diego,Puente de Vallecas
44,76.0,28003.0,CANAL,7.0,40.43870250794506,-3.7048889886567364,Metro,Vallehermoso,Chamberí
45,86.0,28050.0,RONDA DE LA COMUNICACION,8.0,40.515534647177454,-3.662765103503245,Metro,Valverde,Fuencarral - El Pardo
46,73.0,28010.0,ALONSO MARTINEZ,7.0,40.42852602883,-3.696431886003887,Metro,Trafalgar,Chamberí
47,26.0,28045.0,PALOS DE LA FRONTERA,2.0,40.40307228397831,-3.6942326840798296,Metro,Palos de Moguer,Arganzuela
48,152.0,28027.0,PUEBLO NUEVO,15.0,40.435658515499135,-3.642822937252169,Metro,Pueblo Nuevo,Ciudad Lineal
49,76.0,28003.0,GUZMAN EL BUENO,7.0,40.44636607914371,-3.712294037060568,Metro,Vallehermoso,Chamberí
50,31.0,28007.0,PACIFICO,3.0,40.40126178904823,-3.6751365562133396,Metro,Pacífico,Retiro
51,16.0,28013.0,GRAN VIA,1.0,40.419986617735724,-3.7018039301356613,Metro,Sol,Centro
52,134.0,28031.0,SIERRA DE GUADALUPE,13.0,40.382164250300605,-3.624717470148779,Metro,Palomeras Sureste,Puente de Vallecas
53,86.0,28034.0,FUENCARRAL,8.0,40.495085162407655,-3.692831231006568,Metro,Valverde,Fuencarral - El Pardo
54,63.0,28020.0,VALDEACEDERAS,6.0,40.464424178598684,-3.6950620375087535,Metro,Castillejos,Tetuán
55,117.0,28025.0,PAN BENDITO,11.0,40.375868636656726,-3.7341688565304656,Metro,Abrantes,Carabanchel
57,101.0,28047.0,LAGUNA,10.0,40.399229624710614,-3.7442887180566315,Metro,Cármenes,Latina
62,211.0,28042.0,EL CAPRICHO,21.0,40.453468332704944,-3.5940116576957872,Metro,Alameda de Osuna,Barajas
63,181.0,28031.0,VILLA DE VALLECAS,18.0,40.379598611419055,-3.6212964848823486,Metro,Casco Histórico de Vallecas,Villa de Vallecas
64,192.0,28032.0,VALDEBERNARDO,19.0,40.40004712961799,-3.6215591598085286,Metro,Valdebernardo,Vicálvaro
65,54.0,28016.0,COLOMBIA,5.0,40.45748975041236,-3.676939059402893,Metro,Hispanoamérica,Chamartín
66,205.0,28022.0,LAS MUSAS,20.0,40.43298812793981,-3.6078795142763234,Metro,Rosas,San Blas - Canillejas
67,44.0,28028.0,DIEGO DE LEON,4.0,40.432947682446056,-3.67293856677242,Metro,Guindalera,Salamanca
68,45.0,28006.0,NUÑEZ DE BALBOA,4.0,40.43012982126571,-3.679363719455617,Metro,Lista,Salamanca
69,44.0,28028.0,VENTAS,4.0,40.43088480319491,-3.6636058417273496,Metro,Guindalera,Salamanca
70,56.0,28046.0,PLAZA DE CASTILLA,5.0,40.46689653414191,-3.6890861043280823,Metro,Castilla,Chamartín
71,193.0,28032.0,PUERTA DE ARGANDA,19.0,40.40131578216118,-3.5959753029479637,Metro,Valderrivas,Vicálvaro
72,215.0,28042.0,CAMPO DE LAS NACIONES,21.0,40.46389315131333,-3.616204682241519,Metro,Corralejos,Barajas
73,104.0,28047.0,EUGENIA DE MONTIJO,10.0,40.384385797175725,-3.7512111847828216,Metro,Aluche,Latina
75,204.0,28032.0,ALSACIA,20.0,40.41829269464442,-3.6235060015486655,Metro,Arcos,San Blas - Canillejas
76,152.0,28017.0,LA ALMUDENA,15.0,40.423613290680564,-3.639142330362573,Metro,Pueblo Nuevo,Ciudad Lineal
77,87.0,28049.0,PACO DE LUCIA,8.0,40.499654912051675,-3.709081480557363,Metro,Mirasierra,Fuencarral - El Pardo
78,41.0,28001.0,VELAZQUEZ,4.0,40.42503255086481,-3.6829181480861983,Metro,Recoletos,Salamanca
79,53.0,28002.0,PROSPERIDAD,5.0,40.444188974144545,-3.6748189029920586,Metro,Ciudad Jardín,Chamartín
80,156.0,28043.0,ARTURO SORIA,15.0,40.4558324918715,-3.6561812180978235,Metro,San Juan Bautista,Ciudad Lineal
81,163.0,28043.0,CANILLAS,16.0,40.46381053698017,-3.6355954639810872,Metro,Canillas,Hortaleza
82,164.0,28033.0,PARQUE DE SANTA MARIA,16.0,40.47711429389674,-3.645242002165628,Metro,Pinar del Rey,Hortaleza
83,153.0,28027.0,CIUDAD LINEAL,15.0,40.4380484084201,-3.6381575883454986,Metro,Quintana,Ciudad Lineal
84,12.0,28005.0,LA LATINA,1.0,40.41128032868688,-3.7081608685190153,Metro,Embajadores,Centro
85,114.0,28047.0,CARABANCHEL,11.0,40.38782701996798,-3.744870521041383,Metro,Vista Alegre,Carabanchel
87,45.0,28006.0,LISTA,4.0,40.42916852025578,-3.675409822278686,Metro,Lista,Salamanca
