,ACONDICIONAMIENTOVEHICULOS,ACONDICIONAMIENTOVIAJEROS,BARRIO,CALIFICADORPORTAL,CARRETERA,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,CODIGOENTIDAD,CODIGOESTACION,CODIGOINTERCAMBIADOR,CODIGOMUNICIPIO,CODIGONUCLEO,CODIGOPOSTAL,CODIGOPROVINCIA,CODIGOVIA,CORONA123,CORONATARIFARIA,CORREDOR,DENOMINACION,DENOMINACIONABREVIADA,DENOMINACION_SAE,DISTRITO,ENCUESTAAFOROS,ENCUESTADOMICILIARIA,FECHAACTUAL,FECHAALTA,FECHAFIN,FECHAINICIO,GRADOACCESIBILIDAD,HOJA25000,IDESTACION,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LATITUD,LONGITUD,MODO,MODOINTERCAMBIADOR,NOMBREVIA,NUMEROPORTAL,OBJECTID,OBSERVACIONES,PARTICULA,SECCIONCENSAL,SECTOR,SECTORURBANO,SITUACION,SITUACIONCALLE,TESELA,TIPO,TIPONUMERO,TIPOVIA,X,Y,ZONATRANSPORTE
0,3,2,011,,,50,0211,07901,38,280,079,0790101,28015,28,05386,1,A,5,NOVICIADO,,,01,,7,20150709,19990405,,19930701,N,,4_38,,,40.424842233578424,-3.7074190426136306,4,93.0,San Bernardo,49,1,0211,de,001,,0790101A01,I,,T0798585,U,N,Calle,440100,4475360,079-01-007
1,3,2,141,,,175,0915,07901,175,212,079,0790101,28030,28,99999,2,A,3,ESTRELLA,,,14,,379,20150709,19990405,,19930701,N,,4_175,,,40.41147221920649,-3.6617852707606366,4,93.0,Camino de los Vinateros,1,2,0915,del,001,,0790101A01,I,,T07911594,U,N,Calle,443960,4473846,079-14-379
2,3,2,075,,,7,0107,07901,7,316,079,0790101,28003,28,05201,1,A,6,RIOS ROSAS,,,07,,129,20150709,19990405,,19930701,N,559-1,4_7,,,40.44197535635587,-3.701328481177294,4,93.0,Ríos Rosas,22,3,0107,de,103,,,I,,T0796237,U,N,Calle,440632,4477258,079-07-129
3,3,2,104,,,102,0529,07901,102,5,079,0790101,28024,28,07813,2,A,5,CAMPAMENTO,,,10,,251,20150709,20021120,,20020901,N,559-3,4_102,,,40.39480775740209,-3.768128136787409,4,92.0,Padre Piquer,7,4,0529,del,133,3,0790101584,I,,T07911673,U,N,Avda,434921,4472069,079-10-251
4,3,2,125,,,109,0606,07901,109,359,079,0790101,28026,28,00325,2,A,4,USERA,,,12,,316,20150709,19990405,,19930701,N,559-3,4_109,,,40.38709669326968,-3.706895642789324,4,93.0,Amparo Usera,44,5,0606,de,061,,0790101628,I,,T07912862,U,N,Calle,440111,4471170,079-12-316
5,3,2,043,,,115,0613,07901,115,284,079,0790101,28028,28,01736,1,A,1,O'DONNELL,,,04,,78,20150709,19990405,,19930701,N,559-2,4_115,,,40.42288842464461,-3.6685951462919535,4,93.0,Doctor Esquerdo,47,6,0613,del,043,,0790101461,I,,T0798632,U,N,Calle,443392,4475118,079-04-078
6,3,2,102,,,128,0626,07901,128,306,079,0790101,28011,28,02110,2,A,5,PUERTA DEL ANGEL,,,10,,268,20150709,19990405,,19930701,N,559-3,4_128,,,40.41389889439627,-3.7272404518154256,4,93.0,Extremadura,26,7,0626,de,206,,0790101550,I,,T0799336,U,N,Paseo,438409,4474159,079-10-268
7,3,2,,,,230,1224,06507,230,201,065,0650701,28905,28,C0027,3,B1,4,EL BERCIAL,,,03,,705,20150709,20030120,,20030101,T,,4_230,,,40.329072367482894,-3.7296331804893366,4,93.0,Comandante José Manuel Ripollés,4,8,1224, ,001,,0650701001,S,,T0651016,U,N,Avda,438128,4464745,065-001
8,3,2,122,,,268,0352,07901,268,229,079,0790101,28041,28,01496,2,A,4,HOSPITAL 12 DE OCTUBRE,,,12,,326,20150709,20070420,,20070101,T,559-3,4_268,,,40.375031361291015,-3.6958546924445588,4,92.0,Córdoba,49,9,HOSPITAL 12 DE OCTUBRE Linea 3,de,019,,0790101672,I,,T07914198,U,N,Avda,441038,4469823,079-12-326
9,3,2,124,,,267,0351,07901,267,130,079,0790101,28026,28,01496,1,A,4,ALMENDRALES,,,12,,325,20150709,20070420,,20070101,T,559-3,4_267,,,40.38409352717396,-3.697881397655217,4,93.0,Córdoba,21,10,ALMENDRALES Linea 3,de,107,,0790101A01,I,,T07913244,U,N,Avda,440873,4470831,079-12-325
10,3,2,012,,,47,0305,07901,47,258,079,0790101,28012,28,03392,1,A,5,LAVAPIES,,,01,,20,20150709,19990405,,19930701,T,559-3,4_47,,,40.40851094285593,-3.7009041232004773,4,93.0,Lavapiés,7,11,0305,de,050,,0790101977,I,,T0799854,U,N,Plaza,440638,4473543,079-01-020
11,3,2,086,,,274,1051,07901,274,354,079,0790101,28034,28,C1000,2,A,7,TRES OLIVOS,,,08,,148,20150709,20070424,,20070101,T,solape,4_274,,,40.50120462748204,-3.6952024504667387,4,93.0,M-607,SN,12,"TRES OLIVOS Linea 10

Con Calle de Afueras a Valverde", ,153,,0790101930,S,,T079582,U,SN,Acces,441203,4483828,079-08-148
12,3,2,123,,,269,0353,07901,269,331,079,0790101,28041,28,00345,2,A,4,SAN FERMIN-ORCASUR,,,12,,336,20150709,20070420,,20070101,T,559-3,4_269,,,40.36999093055091,-3.6941764145036964,4,93.0,Andalucía,9,13,SAN FERMIN-ORCASUR Linea 3,de,100,,0790101826,I,,T07914879,U,N,Avda,441176,4469263,079-12-336
13,3,2,152,,,135,0704,07901,135,65,079,0790101,28017,28,03514,2,A,1,GARCIA NOBLEJAS,,,15,,423,20150709,19990405,,19930701,N,559-2,4_135,,,40.428423190545146,-3.633299465727318,4,93.0,Luis del Campo,1,14,0704,de,073,,0790101449,I,,T0797944,U,N,Calle,446390,4475710,079-15-423
14,3,2,075,,,142,0711,07901,142,223,079,0790101,28003,28,02527,1,A,6,GREGORIO MARAÑON,,,07,,130,20150709,19990405,,19930701,T,559-1,4_142,,,40.43825099442897,-3.6914828621190114,4,92.0,José Abascal,65,15,0711,de,094,,0790101286,I,,T0796539,U,N,Calle,441463,4476838,079-07-130
15,3,2,084,,,150,0719,07901,150,296,079,0790101,28029,28,06301,2,A,7,PEÑAGRANDE,,,08,,178,20150709,19990430,,19930701,T,559-1,4_150,,,40.47592352024965,-3.715824157912478,4,93.0,Ganapanes,35,16,0719,de,072,,0790101081,I,,T0791852,U,N,Cmno,439433,4481036,079-08-178
16,3,2,085,,,161,0901,07901,161,227,079,0790101,28034,28,11022,2,A,7,HERRERA ORIA,,,08,,185,20150709,19990405,,19930701,N,559-1,4_161,,,40.48466278015302,-3.70751021303079,4,93.0,Valencia de Don Juan,1,17,0901,de,035,,0790101070,I,,T0791200,U,N,Calle,440145,4482000,079-08-185
17,3,2,055,,,166,0906,07901,166,300,079,0790101,28016,28,04833,1,A,1,PIO XII,,,05,,90,20150709,19990405,,19930701,N,559-2,4_166,,,40.46300276051131,-3.67579015001895,4,93.0,Pío XII,27,18,0906,de,082,,0790101206,I,,T0793556,U,N,Avda,442815,4479575,079-05-090
18,3,2,071,,,52,0310,07901,52,68,079,0790101,28015,28,00120,1,A,6,ARGÜELLES,,,07,,136,20150709,19990405,,19930701,N,559-1,4_52,,,40.43066093022461,-3.715962651094834,4,92.0,Alberto Aguilera,72,19,0310,de,001,,0790101303,I,,T0797329,U,N,Calle,439380,4476012,079-07-136
19,3,2,016,,,49,0515,07901,88,62,079,0790101,28013,28,00987,1,A,5,CALLAO,,,01,,13,20150709,19990405,,19930701,T,559-1,4_88,,,40.42008325439652,-3.705664776700521,4,91.0,Callao,3,20,0307,del,117,1,0790101328,I,,T0798880,U,N,Plaza,440245,4474831,079-01-013
20,3,2,164,,,264,0421,07901,264,228,079,0790101,28033,28,01063,2,A,1,HORTALEZA,,,16,,445,20150709,20070410,,20070101,T,559-2,4_264,,,40.47537171795902,-3.6525726113410113,4,93.0,Capitán Cortés,4,21,HORTALEZA Linea 4,del,071,,0790101166,S,,T0791891,U,BLQ,Calle,444794,4480933,079-16-445
21,3,2,212,,,285,0808,07901,285,33,079,0790101,28042,28,20169,2,A,2,AEROPUERTO T4,,,21,,585,20150709,20070503,,20070101,T,559-2,4_285,,,40.491766772325995,-3.593245597213427,4,90.0,Alcobendas a Barajas,SN,22,AEROPUERTO T4 Linea 8,de,015,4,0790101240,I,,T079339,U,SN,Ctra,449835,4482717,079-21-585
22,3,2,087,,,154,0723,07901,154,86,079,0790199,28035,28,45576,2,A,7,PITIS,,,08,,158,20150709,19990430,,19930701,T,559-1,4_154,,,40.49510584237574,-3.7258912329080798,4,93.0,Estación de Pitis,19,23,Con Ctra a la Estación de Pitis,a la,139,2,0790199999,I,,T079764,U,N,Ctra,438597,4483172,079-08-158
23,3,2,,,,214,1206,09201,214,90,092,0920101,28933,28,A0126,3,B2,5,MOSTOLES CENTRAL,,,02,,787,20150709,20030120,,20030101,T,581-2,4_214,,,40.32850021833154,-3.863542175638656,4,92.0,Estación,13,24,1206,de la,011,7,0920101027,I,,T092228,U,N,Paseo,426752,4464784,092-009
24,3,2,012,,,91,0518,07901,91,55,079,0790101,28005,28,04981,1,A,5,PUERTA DE TOLEDO,,,01,,22,20150709,19990405,,19930701,N,559-3,4_91,,,40.40703575446187,-3.711046450767629,4,93.0,Puerta de Toledo,1,25,0518,de,022,,0790101566,I,,T07910174,U,N,Gta,439776,4473386,079-01-022
25,3,2,,,,279,1056,00601,279,249,006,0060101,28109,28,A0104,3,B1,1,LA MORALEJA,,,01,,598,20150709,20070424,,20070101,T,534-4,4_279,,,40.53195564734653,-3.635559522713986,4,93.0,Ermita,5,26,LA MORALEJA Linea 10,de la,037,,0060101039,I,,T006447,U,N,Avda,446281,4487203,006-013
26,3,2,,,,221,1214,05801,221,91,058,0580102,28944,28,10266,3,B2,4,FUENLABRADA CENTRAL,,,04,,699,20150709,20030120,,20030101,T,582-1,4_221,,,40.2826757751405,-3.7989069007820175,4,92.0,Vía,SN,27,Con Calle Luis Sauquillo,de la,001,7,0580102008,I,,T058531,U,SN,Calle,432197,4459646,058-024
27,3,2,052,,,140,0709,07901,140,167,079,0790101,28002,28,00312,1,A,1,CARTAGENA,,,05,,103,20150709,19990405,,19930701,N,559-2,4_140,,,40.43933749524513,-3.672151601329782,4,93.0,América,35,28,0709,de,033,,0790101360,I,,T0796388,U,N,Avda,443104,4476946,079-05-103
